"id","code","name","type","user_type:id","parent_id:id","reconcile"
"ves209000",209000,"General Items","Regular","account.data_account_type_income","ves20","FALSE"
"ves209101",209101,"Freight- Roadfreight","Regular","account.data_account_type_income","ves20","FALSE"
"ves209102",209102,"Freight- Seafreight","Regular","account.data_account_type_income","ves20","FALSE"
"ves209103",209103,"Freight- Airftreight","Regular","account.data_account_type_income","ves20","FALSE"
"ves209200",209200,"Sundry Charges","Regular","account.data_account_type_income","ves20","FALSE"
"ves209300",209300,"Interest Received","Regular","account.data_account_type_income","ves20","FALSE"
"ves209400",209400,"Adjustments","Regular","account.data_account_type_income","ves20","FALSE"
"ves209500",209500,"Cash Discounts","Regular","account.data_account_type_income","ves20","FALSE"
"ves209600",209600,"Returns and Allowances","Regular","account.data_account_type_income","ves20","FALSE"
"ves209700",209700,"Other Adjustments","Regular","account.data_account_type_income","ves20","FALSE"
"ves21",21,"Cost of Sales","View","account.account_type_income_view1","ves2","FALSE"
"ves210000",210000,"Cost of Goods Sold","Regular","account.data_account_type_expense","ves21","FALSE"
"ves211000",211000,"Electric Power Generation","View","account.data_account_type_expense","ves210000","FALSE"
"ves211100",211100,"Alternators","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211200",211200,"Engines","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211300",211300,"CKD","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211400",211400,"Heat Exchangers","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211500",211500,"Instrumentation","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211600",211600,"Panels","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211700",211700,"Transfer Switches","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211800",211800,"Load Banks","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves211900",211900,"Generators (Complete)","Regular","account.data_account_type_expense","ves211000","FALSE"
"ves212000",212000,"Electro-Mechanical Power Transmission","View","account.data_account_type_expense","ves210000","FALSE"
"ves212100",212100,"Electric Motors","Regular","account.data_account_type_expense","ves212000","FALSE"
"ves212200",212200,"Variable Speed Drives","Regular","account.data_account_type_expense","ves212000","FALSE"
"ves212300",212300,"Power Transmission","Regular","account.data_account_type_expense","ves212000","FALSE"
"ves213000",213000,"Spare Parts","Regular","account.data_account_type_expense","ves212000","FALSE"
"ves214000",214000,"Service And Maintenance","Regular","account.data_account_type_expense","ves21","FALSE"
"ves214100",214100,"Labour","Regular","account.data_account_type_expense","ves21","FALSE"
"ves214200",214200,"Consumables","Regular","account.data_account_type_expense","ves21","FALSE"
"ves214300",214300,"Engineering Services","Regular","account.data_account_type_expense","ves21","FALSE"
"ves214400",214400,"Service Options","Regular","account.data_account_type_expense","ves21","FALSE"
"ves215000",215000,"Training","Regular","account.data_account_type_expense","ves21","FALSE"
"ves216000",216000,"Project Management Fees","Regular","account.data_account_type_expense","ves21","FALSE"
"ves217000",217000,"Commissions","Regular","account.data_account_type_expense","ves21","FALSE"
"ves218000",218000,"Contracts","Regular","account.data_account_type_expense","ves21","FALSE"
"ves219000",219000,"General Items","Regular","account.data_account_type_expense","ves21","FALSE"
"ves219101",219101,"Freight- Roadfreight","Regular","account.data_account_type_expense","ves21","FALSE"
"ves219102",219102,"Freight- Seafreight","Regular","account.data_account_type_expense","ves21","FALSE"
"ves219103",219103,"Freight- Airftreight","Regular","account.data_account_type_expense","ves21","FALSE"
"ves219200",219200,"Sundry Charges","Regular","account.data_account_type_expense","ves21","FALSE"
"ves22",22,"Overheads","View","account.account_type_income_view1","ves2","FALSE"
"ves220000",220000,"Expenses","Regular","account.data_account_type_expense","ves22","FALSE"
"ves221000",221000,"Salary Expenses","Regular","account.data_account_type_expense","ves220000","FALSE"
"ves221100",221100,"Salaries","Regular","account.data_account_type_expense","ves221000","FALSE"
"ves221200",221200,"Commissions","Regular","account.data_account_type_expense","ves221100","FALSE"
"ves221300",221300,"Bonuses","Regular","account.data_account_type_expense","ves221100","FALSE"
"ves221400",221400,"Fringe benefits","Regular","account.data_account_type_expense","ves221100","FALSE"
"ves221500",221500,"Training and Courses","Regular","account.data_account_type_expense","ves221100","FALSE"
"ves222000",222000,"Casual wages","View","account.data_account_type_expense","ves221000","FALSE"
"ves223000",223000,"Remuneration and Emoluments","View","account.data_account_type_expense","ves221000","FALSE"
"ves223100",223100,"Directors Remuneration","Regular","account.data_account_type_expense","ves223000","FALSE"
"ves223200",223200,"Salaries","Regular","account.data_account_type_expense","ves223000","FALSE"
"ves223300",223300,"Commissions","Regular","account.data_account_type_expense","ves223000","FALSE"
"ves223400",223400,"Bonuses","Regular","account.data_account_type_expense","ves223000","FALSE"
"ves223500",223500,"Fringe benefits","Regular","account.data_account_type_expense","ves223000","FALSE"
